Column,Non_Missing_Count,Total_Rows,Missing_Count,Percentage_Complete
matchname,502,502,0,100.0
Li,502,502,0,100.0
Na,502,502,0,100.0
Mg,502,502,0,100.0
Al,502,502,0,100.0
Si,502,502,0,100.0
P,502,502,0,100.0
K,502,502,0,100.0
Ca,502,502,0,100.0
Ti,502,502,0,100.0
Cr,502,502,0,100.0
Mn,502,502,0,100.0
Fe,502,502,0,100.0
Co,502,502,0,100.0
Ni,502,502,0,100.0
Cu,502,502,0,100.0
Zn,502,502,0,100.0
Ga,502,502,0,100.0
As,502,502,0,100.0
Rb,502,502,0,100.0
Sr,502,502,0,100.0
Y,502,502,0,100.0
Zr,502,502,0,100.0
Mo,502,502,0,100.0
Cd,502,502,0,100.0
Sn,502,502,0,100.0
Cs,502,502,0,100.0
Ba,502,502,0,100.0
La,502,502,0,100.0
Ce,502,502,0,100.0
Pr,502,502,0,100.0
Nd,502,502,0,100.0
Sm,502,502,0,100.0
Eu,502,502,0,100.0
Gd,502,502,0,100.0
Tb,502,502,0,100.0
Dy,502,502,0,100.0
Er,502,502,0,100.0
Yb,502,502,0,100.0
W,502,502,0,100.0
Pb,502,502,0,100.0
Bi,502,502,0,100.0
X18O,502,502,0,100.0
X13C,502,502,0,100.0
D2H,502,502,0,100.0
dS,502,502,0,100.0
P1,502,502,0,100.0
P2,502,502,0,100.0
P3,502,502,0,100.0
P4,502,502,0,100.0
P5,502,502,0,100.0
P6,502,502,0,100.0
P7,502,502,0,100.0
P8,502,502,0,100.0
P9,502,502,0,100.0
P10,502,502,0,100.0
P11,502,502,0,100.0
P12,502,502,0,100.0
P13,502,502,0,100.0
P14,502,502,0,100.0
P15,502,502,0,100.0
P16,502,502,0,100.0
P17,502,502,0,100.0
P18,502,502,0,100.0
P19,502,502,0,100.0
P20,502,502,0,100.0
P21,502,502,0,100.0
P22,502,502,0,100.0
P23,502,502,0,100.0
P24,502,502,0,100.0
P25,502,502,0,100.0
P26,502,502,0,100.0
P27,502,502,0,100.0
P28,502,502,0,100.0
P29,502,502,0,100.0
P30,502,502,0,100.0
P31,502,502,0,100.0
P32,502,502,0,100.0
P33,502,502,0,100.0
P34,502,502,0,100.0
P35,502,502,0,100.0
P36,502,502,0,100.0
P37,502,502,0,100.0
P38,502,502,0,100.0
P39,502,502,0,100.0
P40,502,502,0,100.0
P41,502,502,0,100.0
P42,502,502,0,100.0
P43,502,502,0,100.0
P44,502,502,0,100.0
P45,502,502,0,100.0
P46,502,502,0,100.0
P47,502,502,0,100.0
P48,502,502,0,100.0
P49,502,502,0,100.0
P50,502,502,0,100.0
P51,502,502,0,100.0
P52,502,502,0,100.0
P53,502,502,0,100.0
P54,502,502,0,100.0
P55,502,502,0,100.0
P56,502,502,0,100.0
P57,502,502,0,100.0
P58,502,502,0,100.0
P59,502,502,0,100.0
P60,502,502,0,100.0
P61,502,502,0,100.0
P62,502,502,0,100.0
P63,502,502,0,100.0
P64,502,502,0,100.0
P65,502,502,0,100.0
P66,502,502,0,100.0
P67,502,502,0,100.0
P68,502,502,0,100.0
P69,502,502,0,100.0
P70,502,502,0,100.0
P71,502,502,0,100.0
P72,502,502,0,100.0
P73,502,502,0,100.0
P74,502,502,0,100.0
P75,502,502,0,100.0
P76,502,502,0,100.0
P77,502,502,0,100.0
P78,502,502,0,100.0
P79,502,502,0,100.0
P80,502,502,0,100.0
P81,502,502,0,100.0
P82,502,502,0,100.0
P83,502,502,0,100.0
P84,502,502,0,100.0
P85,502,502,0,100.0
P86,502,502,0,100.0
P87,502,502,0,100.0
P88,502,502,0,100.0
P89,502,502,0,100.0
P90,502,502,0,100.0
P91,502,502,0,100.0
P92,502,502,0,100.0
P93,502,502,0,100.0
P94,502,502,0,100.0
P95,502,502,0,100.0
P96,502,502,0,100.0
P97,502,502,0,100.0
P98,502,502,0,100.0
P99,502,502,0,100.0
P100,502,502,0,100.0
P101,502,502,0,100.0
P102,502,502,0,100.0
P103,502,502,0,100.0
P104,502,502,0,100.0
P105,502,502,0,100.0
P106,502,502,0,100.0
P107,502,502,0,100.0
P108,502,502,0,100.0
P109,502,502,0,100.0
P110,502,502,0,100.0
P111,502,502,0,100.0
P112,502,502,0,100.0
P113,502,502,0,100.0
P114,502,502,0,100.0
P115,502,502,0,100.0
P116,502,502,0,100.0
P117,502,502,0,100.0
P118,502,502,0,100.0
P119,502,502,0,100.0
P120,502,502,0,100.0
P121,502,502,0,100.0
P122,502,502,0,100.0
P123,502,502,0,100.0
P124,502,502,0,100.0
P125,502,502,0,100.0
P126,502,502,0,100.0
P127,502,502,0,100.0
P128,502,502,0,100.0
P129,502,502,0,100.0
P130,502,502,0,100.0
P131,502,502,0,100.0
P132,502,502,0,100.0
P133,502,502,0,100.0
P134,502,502,0,100.0
P135,502,502,0,100.0
P136,502,502,0,100.0
P137,502,502,0,100.0
P138,502,502,0,100.0
P139,502,502,0,100.0
P140,502,502,0,100.0
P141,502,502,0,100.0
P142,502,502,0,100.0
P143,502,502,0,100.0
P144,502,502,0,100.0
P145,502,502,0,100.0
P146,502,502,0,100.0
P147,502,502,0,100.0
P148,502,502,0,100.0
P149,502,502,0,100.0
P150,502,502,0,100.0
P151,502,502,0,100.0
P152,502,502,0,100.0
P153,502,502,0,100.0
P154,502,502,0,100.0
P155,502,502,0,100.0
P156,502,502,0,100.0
P157,502,502,0,100.0
P158,502,502,0,100.0
P159,502,502,0,100.0
P160,502,502,0,100.0
P161,502,502,0,100.0
P162,502,502,0,100.0
P163,502,502,0,100.0
P164,502,502,0,100.0
P165,502,502,0,100.0
P166,502,502,0,100.0
P167,502,502,0,100.0
P168,502,502,0,100.0
P169,502,502,0,100.0
P170,502,502,0,100.0
P171,502,502,0,100.0
P172,502,502,0,100.0
P173,502,502,0,100.0
P174,502,502,0,100.0
P175,502,502,0,100.0
P176,502,502,0,100.0
P177,502,502,0,100.0
P178,502,502,0,100.0
P179,502,502,0,100.0
P180,502,502,0,100.0
P181,502,502,0,100.0
P182,502,502,0,100.0
P183,502,502,0,100.0
P184,502,502,0,100.0
P185,502,502,0,100.0
P186,502,502,0,100.0
P187,502,502,0,100.0
P188,502,502,0,100.0
P189,502,502,0,100.0
P190,502,502,0,100.0
P191,502,502,0,100.0
P192,502,502,0,100.0
P193,502,502,0,100.0
P194,502,502,0,100.0
P195,502,502,0,100.0
P196,502,502,0,100.0
P197,502,502,0,100.0
P198,502,502,0,100.0
P199,502,502,0,100.0
P200,502,502,0,100.0
P201,502,502,0,100.0
P202,502,502,0,100.0
P203,502,502,0,100.0
P204,502,502,0,100.0
P205,502,502,0,100.0
P206,502,502,0,100.0
P207,502,502,0,100.0
P208,502,502,0,100.0
P209,502,502,0,100.0
P210,502,502,0,100.0
P211,502,502,0,100.0
P212,502,502,0,100.0
P213,502,502,0,100.0
P214,502,502,0,100.0
P215,502,502,0,100.0
P216,502,502,0,100.0
P217,502,502,0,100.0
P218,502,502,0,100.0
P219,502,502,0,100.0
P220,502,502,0,100.0
P221,502,502,0,100.0
P222,502,502,0,100.0
P223,502,502,0,100.0
P224,502,502,0,100.0
P225,502,502,0,100.0
P226,502,502,0,100.0
P227,502,502,0,100.0
P228,502,502,0,100.0
P229,502,502,0,100.0
P230,502,502,0,100.0
P231,502,502,0,100.0
P232,502,502,0,100.0
P233,502,502,0,100.0
P234,502,502,0,100.0
P235,502,502,0,100.0
P236,502,502,0,100.0
P237,502,502,0,100.0
P238,502,502,0,100.0
haplotype,502,502,0,100.0
TreeID,502,502,0,100.0
Country,502,502,0,100.0
Concession,502,502,0,100.0
Longitude,502,502,0,100.0
Latitude,502,502,0,100.0
SppCommon,502,502,0,100.0
d2h_MA,502,502,0,100.0
d18o_MA,502,502,0,100.0
sand_igh_5_15,502,502,0,100.0
clay_igh_5_15,502,502,0,100.0
phh2o_igh_5_15,502,502,0,100.0
soc_igh_5_15,502,502,0,100.0
silt_igh_5_15,502,502,0,100.0
cec_igh_5_15,502,502,0,100.0
SO2_data,502,502,0,100.0
S_extractable,502,502,0,100.0
Elevation,502,502,0,100.0
sea_dist_km,502,502,0,100.0
bio1,502,502,0,100.0
bio2,502,502,0,100.0
bio3,502,502,0,100.0
bio4,502,502,0,100.0
bio5,502,502,0,100.0
bio6,502,502,0,100.0
bio7,502,502,0,100.0
bio8,502,502,0,100.0
bio9,502,502,0,100.0
bio10,502,502,0,100.0
bio11,502,502,0,100.0
bio12,502,502,0,100.0
bio13,502,502,0,100.0
bio14,502,502,0,100.0
bio15,502,502,0,100.0
bio16,502,502,0,100.0
bio17,502,502,0,100.0
bio18,502,502,0,100.0
bio19,502,502,0,100.0
